RECORD TYPE,DOCUMENT NUMBER,SOURCE DOCUMENT TYPE,DOCUMENT DESCRIPTION,REQUISITION NUMBER,INPUT DATE,TOTAL AMOUNT,DEPARTMENT NUMBER,DEPARTMENT NAME,COST CENTER,COST CENTER NAME,DOCUMENT TYPE CODE,DOCUMENT TYPE DESCRIPTION,DOCUMENT STATUS CODE,DOCUMENT STATUS DESCRIPTION,VOUCHED AMOUNT,START DATE,EXPIRATION DATE,EXTENSION DATE,ANNUAL CONTRACT,VENDOR NAME 1,VENDOR NAME 2,VENDOR CITY,VENDOR STATE,VENDOR ZIP,VENDOR TYPE,GENDER,ETHNICITY,STATUS,CLASS,GEOGRAPHIC AREA,INDEPENDENT CONTRACTOR,MINORITY,DISADVANTAGED,DISABLED VETERAN,SB DISABLED VET,SB MINORITY,SB MINORITY WOMAN,SB NON-MINORITY,SB DISADVANTAGED,SB VETERAN,SB WOMAN,TOTAL ITEMS,ITEM NUMBER,ITEM DESCRIPTION,ITEM QUANTITY ORDERED,ITEM UNIT OF MEASURE,ITEM UNIT COST,ITEM TOTAL COST,COMMODITY CODE,COMMODITY DESCRIPTION,EXPENSE TYPE,EXPENSE TYPE DESCRIPTION
D,19007557,P,ITEM:  Post-it Notes  1.5  x 2,13031.0,10/25/2019,0,2010.0,CITY COURT,2010.0,CITY COURT,N,Normal,0.0,Closed,,,,,,STAPLES,,FRAMINGHAM,MA,1702,CONVERSION,,,A,CORP,USA,N,N,N,N,N,N,N,N,N,N,N,1.0,24.0,ITEM:  2020 Staples 11 x 18 Desk Pad Calendar  Compact  Black/White (17392-20)Supplier Part No: 24373524Manufacturer Part No: 1739220Manufacturer Name: STAPLES BRANDS GROUPSupplier Quote No: 24373524NIGP: UNSPSC: 44112002,1.0,EA,3.75,3.75,,,631000.0,OFFICE SUPPLIES
D,21004014,P,ELECTRICAL SUPPLIES FOR 19JDC,6024.0,05/04/2021,0,7830.0,BLDG&GROUND,7830.0,BUILDING MAINT,N,Normal,0.0,Closed,,,,,,NOTOCO INDUSTRIES LLC,,BATON ROUGE,LA,70816-4090,SUPPLIES,,,A,,,N,N,N,N,N,N,N,N,N,N,N,1.0,2.0,2-26W CFL 63097,40.0,EACH,23.37,934.8,28569.0,MISC. ELECTRICAL EQUIPMENT AND,632000.0,BUILDING MATERIALS
H,18001918,P,TRANSPORTATION OF VEHICLE,2517.0,03/02/2018,6200,910.0,AIRPORT,910.0,ADMINISTRATION,N,Normal,0.0,Closed,6200.0,,,,,WATCO COMPANIES LLC,ASPEN TRANSPORTATION LLC,PITTSBURG,KS,66762,,,,A,,USA,N,N,N,N,N,N,N,N,N,N,N,1.0,0.0,,,,,,962.0,"MISCELLANEOUS SERVICES, NO. 2",,
D,800007127,C,DEPT ENV-SERV - LAMAR Contract 5-7-25 to 5-5-26,17362.0,06/11/2025,0,7720.0,ENV SERV,7720.0,ENVIRONMENTAL,7,Professional Serv,8.0,Posted,,,,,,LAMAR ADVERTISING OF LOUISIANA LLC,LAMAR COMPANIES,BATON ROUGE,LA,70808,CONVERSION,,,A,,,N,N,N,N,N,N,N,N,N,N,N,1.0,3.0,PANEL TAB ID:  19024 157497 LOCATION:  JOOR E/S 1/2Mi N/O GREENWELL SPRINGS PERM BULLETIN 10'6 X 36'0  05/07/25 - 05/05/26,13.0,,1000.0,13000.0,91504.0,"ADVERTISING SERVICES, OUTDOOR",,
H,22003999,P,CLOTHING: ATHLETIC  CASUAL  DR,5943.0,05/16/2022,114588,5140.0,FIRE,5140.0,SPECIAL SERVICES,N,Normal,0.0,Closed,114015.06,,,,800004365.0,PRACTICAL TACTICAL CLOTHING & GEAR COMPANY LLC,,BATON ROUGE,LA,70809,,NOT PROVIDED,ETHNICITY NOT SPECIFIED,A,CORP,INP,N,N,N,N,N,N,N,N,N,N,N,1.0,0.0,,,,,,200.0,"CLOTHING: ATHLETIC, CASUAL, DR",,
H,23008270,P,55385-10 CE4 BOB,12112.0,11/08/2023,95.88,7910.0,FLEET,7910.0,CENTRAL GARAGE,N,Normal,0.0,Closed,95.88,,,,,AUTO PARTS & SUPPLIES LLC,NAPA AUTO PARTS,BATON ROUGE,LA,70815-1122,CONVERSION,,,A,,,N,N,N,N,N,N,N,N,N,N,N,1.0,0.0,,,,,,60.0,AUTOMOTIVE AND TRAILER EQUIPME,,
D,22006766,P,EQUIPMENT FOR FORD INTERCEPTOR,8914.0,08/26/2022,0,5010.0,POLICE,5010.0,ADMINISTRATION,N,Normal,0.0,Closed,,,,,800004400.0,DANA SAFETY SUPPLY CO,,GREENSBORO,NC,27407,CONVERSION,,,A,,,N,N,N,N,N,N,N,N,N,N,N,1.0,17.0,SOI MPOWER FASCIA 3 8-LED STUD MNT RED/BLUESUBSTITUTE FENIEX QUAD SURFACE MOUNT LIGHT FOR D-PILLAR LIGHTS    EMPSISTS3JITEM 0082   SOUND OFF Parts Net of 53% Discount,62.0,EACH,85.0,5270.0,5512.0,"CAMERAS, VIDEO, AUTOMOTIVE",654300.0,MOTOR VEHICLES
H,800001769,C,HUMAN SERVICES,3922.0,02/19/2019,48810,6110.0,COMMUNITY DEVELOP,6110.0,ADMIN,7,Professional Serv,10.0,Closed,48810.0,10/01/2018,09/30/2019,,,ST VINCENT DE PAUL COMMUNITY PHARMACY INC,,BATON ROUGE,LA,70821,CONVERSION,,,A,,,N,N,N,N,N,N,N,N,N,N,N,1.0,0.0,,,,,,,,,
H,19000199,P,3848 AUTOMOTIVE AND TRAILER EQ,551.0,01/09/2019,328.83,7910.0,FLEET,7910.0,CENTRAL GARAGE,N,Normal,0.0,Closed,328.83,,,,,W L DOGGETT,DOGGETT MACHINERY SERVICES,BATON ROUGE,LA,70816,PROFESSION,,,A,PSHP,INP,N,N,N,N,N,N,N,N,N,N,N,1.0,0.0,,,,,,60.0,AUTOMOTIVE AND TRAILER EQUIPME,,
H,24002087,P,Teleflex Contract # 800003857,3170.0,03/13/2024,4976,5210.0,EMS,5210.0,OPERATIONS,N,Normal,0.0,Closed,4976.0,,,,800003857.0,TELEFLEX LLC,,CHARLOTTE,NC,28260-0519,CONVERSION,,,A,,,N,N,N,N,N,N,N,N,N,N,N,2.0,0.0,,,,,,465.0,HOSPITAL AND SURGICAL EQUIPMEN,,
D,21006240,P,ITEM:  TRU RED Classification,9197.0,07/22/2021,0,2010.0,CITY COURT,2010.0,CITY COURT,N,Normal,0.0,Closed,,,,,,STAPLES,,FRAMINGHAM,MA,1702,CONVERSION,,,A,CORP,USA,N,N,N,N,N,N,N,N,N,N,N,1.0,13.0,ITEM:  Swingline SmartTouch Low Force 2-Hole Punch  20 Sheet Capacity  Black/Gray (A7074135)Supplier Part No: 936984Manufacturer Part No: 74135Manufacturer Name: GENERAL BINDINGSupplier Quote No: 936984NIGP: UNSPSC: 44121611,2.0,EA,13.29,26.58,,,631000.0,OFFICE SUPPLIES
D,25006971,P,UNIT 3836-WE WO 83136 BID INSURANCE,9505.0,10/09/2025,0,7910.0,FLEET,7910.0,CENTRAL GARAGE,N,Normal,0.0,Closed,,,,,,DMI COMMERCIAL PAINT & BODY SERVICE,,BATON ROUGE,LA,70811,CONVERSION,MALE,CAUCASIAN AMERICAN,A,,,N,N,N,N,N,N,N,N,N,N,N,1.0,1.0,UNIT 3836-WE BID CLAIMS PROCESSING,1.0,EACH,572.5,572.5,95327.0,CLAIMS PROCESSING,601300.0,COST OF GOODS-OUT PARTS/SRV
